HDR1,HDR2,discount,rabies_inc1,rabies_inc2,LR_range1,LR_range2,mu,k,pSeek_healthy,pStart_healthy,pComplete_healthy,pSeek_exposure,pStart_exposure,pComplete_exposure,pDeath,pPrevent,full_cost,partial_cost,vaccinate_dog_cost1,vaccinate_dog_cost2,target_vax_cov,pInvestigate,pFound,pTestable,pFalseNeg,scenario
7.4,100,0,0.0075,0.0125,6.6,12.8,0.38,0.14,0.6,0.2,0.2,0.75,0.6666667,0.3968254,0.1660119,0.986,0,0,0,0,0,0.9,0.6,0.7,0.05,no_interventions
7.4,100,0.03,0.0075,0.0125,6.6,12.8,0.38,0.14,0.6,0.2,0.2,0.7,0.6666667,0.3968254,0.1660119,0.986,45,25,0,0,0,0.9,0.6,0.7,0.05,PEP_IM_free_only
7.4,100,0.03,0.0075,0.0125,6.6,12.8,0.38,0.14,0.6,0.2,0.2,0.7,0.6666667,0.3968254,0.1660119,0.986,15,8.3,0,0,0,0.9,0.6,0.7,0.05,PEP_ID_free_only
7.4,100,0.03,0.0075,0.0125,6.6,12.8,0.38,0.14,0.78,0.2,0.07,0.75,0.79,0.473,0.1660119,0.986,0,0,1,4,0.7,0.9,0.6,0.7,0.05,MDV_only
7.4,100,0.03,0.0075,0.0125,6.6,12.8,0.38,0.14,0.78,0.2,0.07,0.7,0.899,0.542,0.1660119,0.986,45,25,1,4,0.7,0.9,0.6,0.7,0.05,MDV_PEP_IM_free
7.4,100,0.03,0.0075,0.0125,6.6,12.8,0.38,0.14,0.78,0.2,0.07,0.7,0.899,0.542,0.1660119,0.986,15,8.3,1,4,0.7,0.9,0.6,0.7,0.05,MDV_PEP_ID_free
